address,lat,lng,name,url
"livermore, california, united states",37.6820583,-121.768053,Lawrence Livermore National Laboratory,https://computing.llnl.gov/
"los alamos, new mexico, united states",35.88137,-106.298959,Los Alamos National Laboratory,https://lanl.gov/
"albuquerque, new mexico, united states",35.0841034,-106.650985,Sandia National Laboratories,https://www.sandia.gov/
"oak ridge, tennessee, united states",36.0103562,-84.2696449,Oak Ridge National Laboratory,https://www.ornl.gov/
"berkeley, california, united states",37.8708393,-122.272863,National Energy Research Scientific Computing Center,https://www.nersc.gov
"upton, new york, united states",40.869543,-72.8867697,Brookhaven National Laboratory,https://www.bnl.gov/
"lemont, illinois, united states",41.6737149,-88.0016263,Argonne National Laboratory,https://www.anl.gov/
"west milton, new york, united states",43.0375748,-73.9292912,Naval Nuclear Laboratory,https://navalnuclearlab.energy.gov/
"kobe, japan",34.6932379,135.1943764,RIKEN Center for Computational Science,https://www.r-ccs.riken.jp/en/
"paris, france",48.8534951,2.3483915,French Alternative Energies and Atomic Energy Commission (CEA),https://www.cea.fr/english
"aachen, germany",50.776351,6.083862,"RWTCH Aachen University, German Research School for Simulation Sciences",https://www.aices.rwth-aachen.de/en/
"cambridge, massachusetts, united states",42.3655767,-71.1040018,Massachusetts Institute of Technology,https://www.mit.edu/
"champaign, illinois, united states",40.1164841,-88.2430932,Univeristy of illinois Urbana-Champaign,https://illinois.edu/
"raleigh, north carolina, united states",35.7803977,-78.6390989,North Carolina State University,https://www.ncsu.edu/
"salt lake city, utah, united states",40.7596198,-111.886797,University of Utah,https://www.utah.edu/
"newark, delaware, united states",39.6828358,-75.7515682,University of Delaware,https://www.udel.edu/
"knoxville, tennessee, united states",35.9603948,-83.9210261,University of Tennessee,https://www.utk.edu/
"chicago, illinois, united states",41.8755616,-87.6244212,University of Chicago,https://www.uchicago.edu/en
"new brunswick, new jersey, united states",40.4862174,-74.4518173,Rutgers University,https://www.rutgers.edu/
"tallahassee, florida, united states",30.4380832,-84.2809332,Florida State University,https://www.fsu.edu/
"maryland, college park, united states",39.0307198,-76.88017863033588,University of Maryland,https://umd.edu/
"blacksburg, virginia, united states",37.2296566,-80.4136767,Virginia Tech,https://www.vt.edu/
"eugene, oregon, united states",44.0505054,-123.0950506,University of Oregon,https://www.uoregon.edu/
"chicago, illinois, united states",41.8755616,-87.6244212,Illinois Institute of Tech,https://www.iit.edu/
"tuscon, arizona, united states",32.3090726,-111.0827253,University of Arizona,https://www.arizona.edu/
"mã¼nchen, germany",52.5055795,13.5590615,Technical University Munich,https://www.tum.de/en/
"yorktown heights, new york, united states",41.2709274,-73.7776336,IBM TJ Watson Research Center,https://research.ibm.com/labs/watson/visitor.shtml
"raleigh, north carolina, united states",35.7803977,-78.6390989,RedHat OpenShift,https://www.redhat.com/en
"houston, texas, united states",29.7589382,-95.3676974,HPE,https://www.hpe.com/
"portland, oregon, united states",45.5202471,-122.674194,Intel,https://www.intel.com/content/www/us/en/corporate-responsibility/intel-in-oregon.html
"seattle, washington, united states",47.6038321,-122.330062,Amazon Web Services,https://aws.amazon.com/
