address,lat,lng,count,name
"livermore, california, united states",37.6820583,-121.768053,1,Lawrence Livermore National Laboratory
"los alamos, new mexico, united states",35.88137,-106.298959,1,Los Alamos National Laboratory
"albuquerque, new mexico, united states",35.0841034,-106.650985,1,Sandia National Laboratories
"oak ridge, tennessee, united states",36.0103562,-84.2696449,1,Oak Ridge National Laboratory
"berkeley, california, united states",37.8708393,-122.272863,1,National Energy Research Scientific Computing Center
"upton, new york, united states",40.869543,-72.8867697,1,Brookhaven National Laboratory
"lemont, illinois, united states",41.6737149,-88.0016263,1,Argonne National Laboratory
"west milton, new york, united states",43.0375748,-73.9292912,1,Naval Nuclear Laboratory
"kobe, japan",34.6932379,135.1943764,1,RIKEN Center for Computational Science
"paris, france",48.8534951,2.3483915,1,French Alternative Energies and Atomic Energy Commission (CEA)
"aachen, germany",50.776351,6.083862,1,"RWTCH Aachen University, German Research School for Simulation Sciences"
"cambridge, massachusetts, united states",42.3655767,-71.1040018,1,Massachusetts Institute of Technology
"champaign, illinois, united states",40.1164841,-88.2430932,1,Univeristy of illinois Urbana-Champaign
"raleigh, north carolina, united states",35.7803977,-78.6390989,2,RedHat OpenShift|North Carolina State University
"salt lake city, utah, united states",40.7596198,-111.886797,1,University of Utah
"newark, delaware, united states",39.6828358,-75.7515682,1,University of Delaware
"knoxville, tennessee, united states",35.9603948,-83.9210261,1,University of Tennessee
"chicago, illinois, united states",41.8755616,-87.6244212,2,Illinois Institute of Tech|University of Chicago
"new brunswick, new jersey, united states",40.4862174,-74.4518173,1,Rutgers University
"tallahassee, florida, united states",30.4380832,-84.2809332,1,Florida State University
"maryland, college park, united states",39.0307198,-76.88017863033588,1,University of Maryland
"blacksburg, virginia, united states",37.2296566,-80.4136767,1,Virginia Tech
"eugene, oregon, united states",44.0505054,-123.0950506,1,University of Oregon
"tuscon, arizona, united states",32.3090726,-111.0827253,1,University of Arizona
"mã¼nchen, germany",52.5055795,13.5590615,1,Technical University Munich
"yorktown heights, new york, united states",41.2709274,-73.7776336,1,IBM TJ Watson Research Center
"houston, texas, united states",29.7589382,-95.3676974,1,HPE
"portland, oregon, united states",45.5202471,-122.674194,1,Intel
"seattle, washington, united states",47.6038321,-122.330062,1,Amazon Web Services
